objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
exhibit_001,,Diagrama de árbol genealógico | Family tree diagram,Unidentified / No identificado (artist / artista),Undated / Sin Fecha,Family tree diagram demonstrating structures and terms for familial relations. —— Diagrama de árbol genealógico que demuestra las estructuras y los términos de las relaciones familiares.,Genealogy|Genealogía,Mexico,22.34347675,-101.655324,"Genaro García Imprints and Images Collection, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin","Box 3, Folder 4",Image;StillImage,image/jpeg,spa,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",Public Domain / Dominio Público (https://creativecommons.org/publicdomain/mark/1.0/),image,/objects/utblac_gg_im_003_004_002r.jpg,/objects/utblac_gg_im_003_004_002r.jpg,/objects/utblac_gg_im_003_004_002r.jpg
exhibit_002,,"Santiago, el ""matamoros"" | Saint James, the “Moor-slayer”",Unidentified / No identificado (artist / artista),1775,"Framed painting of the apparition of Saint James, the “Moor-slayer”, on horseback spearing men in armor during the Spanish Reconquista. ""Rey"" is at the top and ""Decas"" is at the bottom of the composition. Nude cherubim and creatures are on the composition's frame. —— Cuadro enmarcado de la aparición de Santiago, el “Matamoros”, a caballo lanceando hacia soldados con armaduras durante la Reconquista española. ""Rey"" está en la parte superior y ""Decas"" está en la parte inferior de la composición. Querubines y criaturas desnudos están en el marco de la composición.","Heraldry|Heraldia|Genealogy|Genealogía|James, the Greater, Saint|Santiago el Mayor, Santo|Violence|Violencia",Spain|Spain--La Rioja--Clavijo|Mexico,42.34837989,-2.426231654,"Genaro García Imprints and Images Collection, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",G220,Image;StillImage,image/jpeg,spa,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",Public Domain / Dominio Público (https://creativecommons.org/publicdomain/mark/1.0/),image,/objects/utblac_gg_ms_g220_0028.jpg,/objects/utblac_gg_ms_g220_0028.jpg,/objects/utblac_gg_ms_g220_0028.jpg
exhibit_003,,Cristo en la cruz y los niños González Becerra | Christ on the cross and the González Becerra children,Unidentified / No identificado (artist / artista),1775,"Framed painting of Christ on the cross with the González Becerra children kneeling before him. A town on a hilltop is in the background. ""Por la gracia de Dios"" is at the bottom of the composition. Nude cherubim and creatures are on the composition's frame. —— Cuadro enmarcado de Cristo en la cruz con los niños González Becerra arrodillados ante él. Al fondo hay una ciudad en la cima de una colina. ""Por la gracia de Dios"" está en la parte inferior de la composición. Querubines y criaturas desnudos están en el marco de la composición.",Heraldry|Heraldia|Genealogy|Genealogía|Holy Cross|Santa Cruz|Women|Mujeres|Jesus Christ|Jesucristo|Children|Niños|Niñas|Architecture|Architecture,Mexico,22.34347675,-101.655324,"Genaro García Imprints and Images Collection, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",G220,Image;StillImage,image/jpeg,spa,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",Public Domain / Dominio Público (https://creativecommons.org/publicdomain/mark/1.0/),image,/objects/utblac_gg_ms_g220_0027.jpg,/objects/utblac_gg_ms_g220_0027.jpg,/objects/utblac_gg_ms_g220_0027.jpg
exhibit_004,,La Virgen con el Niño y la familia González Becerra | Madonna and Child and the González Becerra family,Unidentified / No identificado (artist / artista),1775,"Framed painting of Madonna and child with the González Becerra family kneeling before them. ""Don Phelippe"" is at the bottom of the composition. Nude cherubim and creatures are on the composition's frame. —— Cuadro enmarcado de la Virgen y el niño con la familia González Becerra arrodillada ante ellos. Al fondo hay una ciudad en la cima de una colina. ""Don Phelippe"" está en la parte inferior de la composición. Querubines y criaturas desnudos están en el marco de la composición.","Heraldry|Heraldia|Genealogy|Genealogía|Women|Mujeres|Mary, Blessed Virgin, Saint|María, Santísima Virgen, Santa|Jesus Christ|Jesucristo",Mexico,22.34347675,-101.655324,"Genaro García Imprints and Images Collection, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",G220,Image;StillImage,image/jpeg,spa,"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu.",Public Domain / Dominio Público (https://creativecommons.org/publicdomain/mark/1.0/),image,/objects/utblac_gg_ms_g220_0023.jpg,/objects/utblac_gg_ms_g220_0023.jpg,/objects/utblac_gg_ms_g220_0023.jpg
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
